### Done Doing ToDo
20180131 55 5 7
20180207 58 2 11
20180214 64 11 65
20180221 78 6 62
20180228 80 6 71
20180307 87 5 80
20180314 91 8 80
20180321 92 7 80
20180328 118 4 82
20180404 129 9 89
20180411 132 10 89
20180418 144 8 70
20180425 150 14 90
20180502 172 9 77
20180509 180 14 79
20180523 199 13 95
20180530 219 5 102
20180606 225 10 108 
20180613 236 8 102
20180620 249 16 112
20180627 275 10 119
20180704 287 10 119
20180711 324 4 105
20180725 337 4 115
20180801 341 6 127
20180808 352 8 125
20180815 355 12 129
20180822 372 6 144
20180912 396 14 137
20180919 405 11 139
20180926 421 13 155
20181003 442 9 151
20181010 480 13 122
20181017 498 6 116
20181024 508 14 124
20181031 518 8 128
20181107 529 10 128
20181114 536 11 125
20181128 564 10 137
20181205 590 11 142
20181212 609 7 133
20181219 614 14 141
20190102 619 15 144
20190109 635 7 102
20190116 642 16 97
20190123 661 11 95
20190130 678 14 115
20190206 705 14 116
20190213 720 28 127
20190220 749 10 136
20190306 767 10 134
20190313 772 16 134
20190320 793 14 162
20190403 825 10 167
20190410 846 10 163
20190417 860 15 165
20190424 869 14 171
20190501 885 14 178
20190508 894 21 179
20190515 916 15 180
20190522 921 27 187
20190529 950 21 208
20190605 985 21 205
20190612 1003 13 223
20190619 1022 16 263
20190626 1047 25 261
20190703 1073 19 265
20190710 1109 16 255
20190717 1142 25 302
20190731 1184 19 299
20190807 1220 26 295
20190814 1252 30 303
20190821 1289 21 311
20190828 1298 28 314
20190911 1328 25 320
20190918 1338 23 332
20190925 1356 23 325
20191002 1367 18 337
20191009 1402 21 295
20191016 1417 25 287
20191023 1437 18 303
20191030 1444 32 317
20191106 1497 25 295
20191113 1509 25 320
20191120 1533 28 315
20191127 1559 26 303
20191204 1582 31 303
20191211 1591 29 306
20191218 1607 36 305
20200108 1621 29 278
20200115 1637 32 284
20200122 1649 26 295
20200129 1667 31 284
20200205 1677 26 294
20200212 1687 33 308
20200219 1715 31 303
20200226 1731 27 314
20200304 1737 29 320
20200311 1753 31 325
20200318 1764 31 313
20200325 1777 28 315
20200401 1803 22 320
20200408 1812 27 325
20200415 1815 24 333
20200422 1839 29 323
20200429 1856 18 338
20200506 1890 25 322
20200513 1919 21 305
20200520 1938 20 306
20200527 1944 20 318
20200603 1961 20 313
20200610 1977 20 318
20200617 1990 24 318
20200624 2008 21 317
20200701 2024 25 303
20200701 2024 25 303
20200708 2035 25 302
20200715 2043 25 298
20200722 2054 22 290
20200723 2054 23 289
20200729 2061 19 303
20200729 2061 19 303
20200729 2061 19 303
20200729 2061 19 303
20200805 2075 20 296
20200826 2132 20 287
20200902 2134 23 289
20200909 2150 20 295
20200916 2156 21 300
20200923 2162 23 316
20200930 2175 17 327
20201007 2197 24 313
20201007 2197 24 313
20201014 2226 17 306
20201021 2241 15 318
20201028 2255 15 314
20201104 2262 16 312
20201111 2273 14 334
20201118 2287 20 339
20201125 2304 15 342
20201202 2333 17 332
20201209 2352 15 325
20201216 2366 15 348
20201222 2379 18 342
20210106 2384 14 372
20210113 2401 16 363
20210121 2413 14 366
20210203 2440 17 377
20210210 2461 17 371
20210217 2479 18 367
20210224 2484 19 372
20210303 2487 21 373
20210310 2514 11 367
20210317 2524 10 377
20210324 2530 11 380
20210331 2541 9 390
20210407 2545 10 392
20210414 2567 10 388
20210422 2585 11 378

20210428 2597 10 382
20210428 2597 11 381
20210505 2611 11 378
20210512 2630 8 368
20210519 2655 11 349
20210526 2670 14 356
20210602 2676 14 361
20210609 2693 14 356
20210616 2705 14 355
